"trip_id","trip_id_orig","observed","trip_date","julian_date_s","day_id","trip_duration","day_trip","group_type","pooled","harvest","forager_id","age_type","age_dist_1","age_dist_2","sex","dogs","gun","trip_year","a_1_id","a_1_sex","a_1_age_dist_1","a_1_age_dist_2","a_1_firearms"
109,109,NA,1984-05-01,-0.469009431601057,5234,8,1,"Independent",0,0,44,"Exact",31,0,"M",0,1,1984,NA,NA,NA,NA,NA
110,110,NA,1983-09-13,-0.489114025411255,5003,5,1,"Independent",0,90,44,"Exact",30,0,"M",NA,1,1983,NA,NA,NA,NA,NA
111,111,NA,1983-09-17,-0.488765893916706,5007,NA,1,"Independent",0,0,48,"Exact",26,0,"M",NA,1,1983,NA,NA,NA,NA,NA
112,112,NA,1983-11-14,-0.483717987245747,5065,5,1,"Independent",0,16,1,"Exact",40,0,"M",NA,0,1983,NA,NA,NA,NA,NA
113,113,NA,1983-09-30,-0.487634466559422,5020,5,1,"Independent",0,15,4,"Exact",20,0,"M",NA,1,1983,NA,NA,NA,NA,NA
114,114,NA,1983-12-28,-0.47988854080571,5109,NA,1,"Independent",0,0,15,"Exact",39,0,"M",0,1,1983,NA,NA,NA,NA,NA
116,116,NA,1984-01-07,-0.479018212069337,5119,5,1,"Independent",0,0,20,"Exact",44,0,"M",NA,1,1984,NA,NA,NA,NA,NA
117,117,NA,1983-10-01,-0.487547433685785,5021,16,1,"Independent",0,12,21,"Exact",56,0,"M",0,1,1983,NA,NA,NA,NA,NA
119,119,NA,1983-09-02,-0.490071387021264,4992,6,1,"Independent",0,26,29,"Exact",28,0,"M",0,1,1983,NA,NA,NA,NA,NA
120,120,NA,1983-09-01,-0.490158419894902,4991,5,1,"Independent",0,0,29,"Exact",28,0,"M",0,1,1983,NA,NA,NA,NA,NA
121,121,NA,1983-10-01,-0.487547433685785,5021,8,1,"Independent",0,0,37,"Exact",35,0,"M",NA,NA,1983,NA,NA,NA,NA,NA
122,122,NA,1983-09-15,-0.488939959663981,5005,1,1,"Independent",0,60,48,"Exact",26,0,"M",0,1,1983,NA,NA,NA,NA,NA
123,123,NA,1983-09-27,-0.487895565180334,5017,13,1,"Independent",0,17,17,"Exact",25,0,"M",0,1,1983,NA,NA,NA,NA,NA
124,124,NA,1983-10-13,-0.486503039202138,5033,6,1,"Independent",0,25,40,"Exact",29,0,"M",0,0,1983,NA,NA,NA,NA,NA
125,125,NA,1983-07-05,-0.49520632656586,4933,6,1,"Independent",0,60,7,"Exact",54,0,"M",1,0,1983,NA,NA,NA,NA,NA
126,126,NA,1983-09-04,-0.48989732127399,4994,NA,1,"Loose",0,10,29,"Exact",28,0,"M",0,1,1983,NA,NA,NA,NA,NA
127,127,NA,1983-06-30,-0.495641490934047,4928,4,1,"Cooperative",1,60,2,"Exact",15,0,"M",0,0,1983,NA,NA,NA,NA,NA
127,127,NA,1983-06-30,-0.495641490934047,4928,4,1,"Cooperative",1,60,25,"Exact",30,0,"M",0,0,1983,NA,NA,NA,NA,NA
127,127,NA,1983-06-30,-0.495641490934047,4928,4,1,"Cooperative",1,60,26,"Exact",18,0,"M",0,0,1983,NA,NA,NA,NA,NA
127,127,NA,1983-06-30,-0.495641490934047,4928,4,1,"Cooperative",1,60,42,"Exact",61,0,"M",0,0,1983,NA,NA,NA,NA,NA
128,128,NA,1983-11-05,-0.484501283108482,5056,8,1,"Independent",0,30,4,"Exact",28,0,"M",0,1,1983,NA,NA,NA,NA,NA
129,129,NA,1983-11-21,-0.483108757130287,5072,NA,1,"Independent",0,17,46,"Exact",13,0,"M",NA,0,1983,NA,NA,NA,NA,NA
130,130,NA,1983-08-09,-0.492160175988558,4968,4,1,"Independent",0,20,4,"Exact",20,0,"M",0,0,1983,NA,NA,NA,NA,NA
131,131,NA,1984-01-10,-0.478757113448426,5122,NA,1,"Independent",0,0,11,"Exact",32,0,"M",0,1,1984,NA,NA,NA,NA,NA
132,132,NA,1984-01-04,-0.479279310690249,5116,NA,1,"Independent",0,0,15,"Exact",40,0,"M",0,1,1984,NA,NA,NA,NA,NA
133,133,NA,1984-01-10,-0.478757113448426,5122,4.5,1,"Independent",0,0,36,"Exact",25,0,"M",0,1,1984,NA,NA,NA,NA,NA
134,134,NA,1984-01-10,-0.478757113448426,5122,4.5,1,"Independent",0,0,38,"Exact",18,0,"M",0,0,1984,NA,NA,NA,NA,NA
135,135,NA,1984-01-10,-0.478757113448426,5122,8,1,"Independent",0,0,44,"Exact",31,0,"M",0,0,1984,NA,NA,NA,NA,NA
136,136,NA,1981-09-05,-0.553344286155524,4265,4,1,"Independent",0,16,29,"Exact",26,0,"M",0,1,1981,NA,NA,NA,NA,NA
137,137,NA,1981-09-13,-0.552648023166426,4273,4.5,1,"Independent",0,70,44,"Exact",28,0,"M",0,1,1981,NA,NA,NA,NA,NA
138,138,NA,1981-09-19,-0.552125825924603,4279,8,1,"Independent",0,45,20,"Exact",41,0,"M",0,1,1981,NA,NA,NA,NA,NA
139,139,NA,1981-09-21,-0.551951760177329,4281,4.5,1,"Independent",0,70,29,"Exact",26,0,"M",0,1,1981,NA,NA,NA,NA,NA
140,140,NA,1981-09-21,-0.551951760177329,4281,8,1,"Cooperative",1,70,11,"Exact",29,0,"M",NA,0,1981,NA,NA,NA,NA,NA
140,140,NA,1981-09-21,-0.551951760177329,4281,8,1,"Cooperative",1,70,14,"Exact",43,0,"M",NA,0,1981,NA,NA,NA,NA,NA
141,141,NA,1981-09-21,-0.551951760177329,4281,1,1,"Independent",0,12,44,"Exact",28,0,"M",NA,1,1981,NA,NA,NA,NA,NA
142,142,NA,1981-09-24,-0.551690661556417,4284,4.5,1,"Independent",0,60,4,"Exact",18,0,"M",0,1,1981,NA,NA,NA,NA,NA
143,143,NA,1981-09-26,-0.551516595809142,4286,4.5,1,"Independent",0,9,29,"Exact",26,0,"M",NA,1,1981,NA,NA,NA,NA,NA
